pm2_5,city,co,pm10,level,o3,spider,so2,crawl_time,date,aqi,no2
56,,1.2,106,轻度污染,166,aqi_redisspider,12,2018-11-28 17:27:24.021000,2014-07-21,106,30
60,,1.9,0,良,90,aqi_redisspider,37,2018-11-28 17:27:24.031000,2014-07-22,82,45
54,,0.8,87,良,125,aqi_redisspider,30,2018-11-28 17:27:24.034000,2015-10-20,74,50
49,,0.8,81,良,125,aqi_redisspider,28,2018-11-28 17:27:24.036000,2015-10-21,71,47
77,,1,98,轻度污染,130,aqi_redisspider,24,2018-11-28 17:27:24.037000,2015-10-22,103,45
125,,1.3,169,中度污染,123,aqi_redisspider,27,2018-11-28 17:27:24.038000,2015-10-23,165,46
110,,1.2,152,轻度污染,136,aqi_redisspider,32,2018-11-28 17:27:24.042000,2015-10-24,144,42
59,,1,74,良,58,aqi_redisspider,28,2018-11-28 17:27:24.046000,2015-11-20,80,35
55,,1.1,71,良,71,aqi_redisspider,27,2018-11-28 17:27:24.075000,2015-11-21,75,31
95,,2,123,轻度污染,78,aqi_redisspider,35,2018-11-28 17:27:24.081000,2015-12-25,125,31
59,,1.4,79,良,73,aqi_redisspider,30,2018-11-28 17:27:24.082000,2015-12-26,80,39
45,,1.3,64,良,44,aqi_redisspider,18,2018-11-28 17:27:24.084000,2015-12-27,63,23
28,,1,41,优,45,aqi_redisspider,31,2018-11-28 17:27:24.087000,2015-12-28,41,27
202,,1.4,229,重度污染,46,aqi_redisspider,25,2018-11-28 17:27:24.088000,2016-01-17,252,32
139,,1,158,中度污染,42,aqi_redisspider,23,2018-11-28 17:27:24.092000,2016-01-18,185,22
121,,1,136,中度污染,58,aqi_redisspider,29,2018-11-28 17:27:24.095000,2016-01-19,159,26
